framework,code,indicator,mean_flip_rate,ac1,pooled_p_met,n_lessons_flipped,n_lessons,verdict_class,q_unstable,yes_bar
FICO,C2,Responsive Re-explanation & Adaptive Teaching,0.3,0.2116182572614109,0.6333333333333333,3,3,BROKEN,0.0003523758837551,Tries a different approach but still teacher-centered.
FICO,C5,Student Agency & Voice,0.1999999999999999,0.4100294985250738,0.4666666666666667,2,3,HEALTHY,0.105039539040058,Occasional student input but teacher-dominated. Multiple perspectives mentioned but not explored.
FICO,F8,Cross-Curricular Connections,0.1666666666666666,0.6205128205128204,0.1666666666666666,2,3,UNINFORMATIVE,0.4847008139845252,Occasional reference to other subjects but not developed.
FICO,C3,Effective Feedback,0.1333333333333333,0.7687861271676301,0.1333333333333333,1,3,HEALTHY,1.0,Feedback given but generic ('try harder'). Specific but does not consistently guide improvement.
FICO,B6,Differentiation / Catering to Learning Levels,0.1,0.6943231441048034,0.4333333333333333,1,3,HEALTHY,1.0,Aware of different levels but no adapted tasks.
FICO,D2,Cognitive Engagement Level (Bloom's),0.1,0.6943231441048034,0.4333333333333333,1,3,HEALTHY,1.0,Students completing tasks but without thinking deeply.
HOTS,1.3,Complex Tasks with Clear Expectations,0.1999999999999999,0.6296296296296295,0.8,2,3,HEALTHY,0.0558022551150308,"Some students engage in complex tasks, but expectations are not consistently communicated."
HOTS,4.1,Collaboration on HOTS Tasks,0.1666666666666666,0.7435897435897437,0.8333333333333334,1,3,HEALTHY,0.2501681620565291,"Some collaboration occurs, but tasks lack depth. Students share ideas but don't synthesise."
HOTS,4.3,Discussions & Debates on Complex Topics,0.1333333333333333,0.738562091503268,0.2,1,3,HEALTHY,0.9115734196311516,"Some discussions occur, but only a few students participate actively."
HOTS,5.3,Assessment Tasks Requiring HOTS,0.1333333333333333,0.7687861271676301,0.1333333333333333,1,3,HEALTHY,0.9115734196311516,Some tasks involve analysis or evaluation but lack depth.
HOTS,3.2,"Students Analyse, Interpret & Critique",0.1,0.7577854671280276,0.2333333333333333,1,3,HEALTHY,1.0,"Some analysis and critique are encouraged, but not consistent across the lesson."
TEACH,2.3,"Positive Behaviorial Expectations: The teacher redirects misbehavior and focuses on the expected behavior, rat",0.2,0.5424836601307187,0.8,2,3,UNINFORMATIVE,0.0919095966600507,"The behaviour is evidenced but only partially, inconsistently, or with some students and not others."
TEACH,4.2,Checks For Understanding: The teacher monitors most students during independent/group work,0.1999999999999999,0.4301994301994302,0.6,2,3,HEALTHY,0.0919095966600507,"The behaviour is evidenced but only partially, inconsistently, or with some students and not others."
TEACH,5.2,Feedback: The teacher provides specific comments or prompts that help identify students’ successes,0.1666666666666666,0.7435897435897437,0.8333333333333334,1,3,HEALTHY,0.4065232633418598,"The behaviour is evidenced but only partially, inconsistently, or with some students and not others."
TEACH,6.2,Critical Thinking: The teacher provides thinking tasks,0.1666666666666666,0.7435897435897437,0.8333333333333334,1,3,HEALTHY,0.4065232633418598,"The behaviour is evidenced but only partially, inconsistently, or with some students and not others."
TEACH,8.2,Perseverance: The teacher has a positive attitude towards students’ challenges,0.1333333333333333,0.7687861271676301,0.8666666666666667,1,3,HEALTHY,1.0,"The behaviour is evidenced but only partially, inconsistently, or with some students and not others."
TEACH,9.2,Social & Collaborative Skills: The teacher promotes students’ interpersonal skills,0.1,0.7577854671280276,0.2333333333333333,1,3,HEALTHY,1.0,"The behaviour is evidenced but only partially, inconsistently, or with some students and not others."
