SECTION — HOTS OBSERVATION FRAMEWORK (16 Indicators | 1/2/3 Scale | Equal Weighting | Aligned with FICO),,,,
Code,Indicator,Emerging (1),Developing (2),Proficient (3)
DOMAIN 1 — CLASSROOM ENVIRONMENT,,,,
1.1,Open Discussions & Critical Thinking,Discussions are teacher-dominated with minimal student input. Students respond only when directly called upon.,"Some encouragement for discussions, but student participation is limited and inconsistent.","Open discussions are encouraged, with students freely sharing and debating ideas. Critical thinking is embedded in interactions."
1.2,Resources & Space for Collaboration,"Resources and space are disorganised, limiting collaborative learning.","Some organisation, but space/resources do not fully support collaborative tasks.",Resources and space are well-organised for collaborative tasks. Tables arranged for group work.
1.3,Complex Tasks with Clear Expectations,Students are given basic tasks without clear expectations. Instructions unclear.,"Some students engage in complex tasks, but expectations are not consistently communicated.","Students actively participate in complex, clearly defined tasks. Success criteria stated upfront."
DOMAIN 2 — LESSON PLANNING,,,,
2.1,Objectives Linked to HOTS,"Objectives are vague or focused on rote learning. Example: ""Understand the topic.""",Objectives mention higher-order skills but lack detailed alignment with HOTS verbs.,"Objectives are explicit and linked to HOTS. Example: ""Evaluate the author's argument using textual evidence."""
2.2,"Strategies for Analysis, Evaluation & Synthesis",Strategies focus on recall and comprehension. Activities ask for definitions or facts only.,Some activities promote analysis or synthesis but lack variety or depth.,Strategies explicitly foster HOTS including evaluation and synthesis. Multiple Bloom's levels in one lesson.
2.3,Real-World Applications,Lessons are taught in isolation without real-world relevance.,"Some connections to real-world themes, but not fully embedded in activities.",Lessons integrate real-world applications and interdisciplinary links. Students apply learning to their context.
DOMAIN 3 — INSTRUCTIONAL STRATEGIES,,,,
3.1,Open-Ended & Thought-Provoking Questions,"Questions are mostly close-ended, requiring one-word answers. Example: ""What is the capital?""","Some open-ended questions are asked, but they lack depth. Example: ""Why is the earth round?""","Open-ended, thought-provoking questions dominate. Example: ""How would the story change if the character made a different choice?"""
3.2,"Students Analyse, Interpret & Critique",Students passively receive information. Teacher explains everything without student input.,"Some analysis and critique are encouraged, but not consistent across the lesson.","Students actively analyse, interpret, and critique content. Students challenge ideas with evidence."
3.3,Teacher Models Problem-Solving & Creativity,Simple tasks demonstrated without explanation of the problem-solving process.,"Problem-solving is modelled, but the teacher does not explain strategies or invite students to try.",Problem-solving and creativity are modelled with clear strategies. Students are invited to attempt their own approaches.
3.4,Effective Scaffolding,Minimal or no scaffolding. Students asked to solve problems without support.,"Some scaffolding provided, but inconsistent. Support does not adjust to student needs.","Effective scaffolding supports student exploration. Multiple tools: sentence frames, graphic organisers, think-alouds."
DOMAIN 4 — STUDENT ENGAGEMENT,,,,
4.1,Collaboration on HOTS Tasks,Collaboration is minimal or absent. Students work individually throughout.,"Some collaboration occurs, but tasks lack depth. Students share ideas but don't synthesise.",Collaboration is structured and focused on synthesis and problem-solving. Groups produce joint outputs.
4.2,Multiple Perspectives & Novel Solutions,Content is presented from a single perspective. No alternative viewpoints explored.,"Multiple perspectives are mentioned, but exploration is limited. Teacher-led only.",Students actively explore and evaluate multiple perspectives. Novel solutions encouraged and celebrated.
4.3,Discussions & Debates on Complex Topics,Discussions are teacher-led with limited student involvement.,"Some discussions occur, but only a few students participate actively.",Discussions and debates actively involve all students. Students collaborate and build on each other's ideas.
DOMAIN 5 — ASSESSMENT & FEEDBACK,,,,
5.1,Self-Assessment & Peer-Assessment,Assessment limited to teacher-led grading. Students receive a grade with no self-reflection.,"Some self- or peer-assessment occurs, but inconsistent. No structured criteria provided.",Self- and peer-assessment are structured and purposeful. Students use rubrics to evaluate reasoning.
5.2,Feedback Guiding Reasoning & Improvement,"Feedback is generic: ""Good job"" or ""Try again"" with no specifics.",Feedback is specific but does not consistently guide improvement.,"Feedback is specific, actionable, and focused on improvement. Example: ""Your argument would be stronger with evidence from paragraph 3."""
5.3,Assessment Tasks Requiring HOTS,Assessment tasks focus on recall only. No higher-order thinking required.,Some tasks involve analysis or evaluation but lack depth.,"Assessment tasks consistently require analysis, evaluation, or creation."
MULTIGRADE ONLY — Additional Indicator,,,,
MG.1,Cross-Grade HOTS Integration,Grade groups work in isolation. No cross-grade interaction or peer teaching.,Some cross-grade moments but not structured. Older students occasionally help younger.,Structured cross-grade HOTS activities. Older students teach younger. Peer learning is planned.
"HOTS TOTAL (Monograde: 16 indicators, Multigrade: 17)",,,,
Domain Score = Average of indicators. Overall = Average of domains. Normalize: ((score-1)/2) × 100. Equal weighting.,,,,
,,,,
Hots Scoring Aligned to Standards,,,,
1/2/3 (Emerging/Developing/Proficient) maps cleanly to FICO's 1-4 scale: • HOTS 1 (Emerging) = FICO 1 (Not Observed / Emerging) • HOTS 2 (Developing) = FICO 2 (Developing) • HOTS 3 (Proficient) = FICO 3-4 (Proficient),,,,
